               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.081301,            0.081112,             0.10857,             0.45412,             0.30879,             0.30791,             0.13879,            0.083736,             0.10331,            0.026776,             0.00505,             0.00505,             0.00505
                  52,            0.080979,            0.080352,             0.10701,             0.47782,             0.30078,             0.30837,             0.13953,            0.083674,               0.103,            0.026867,            0.004951,            0.004951,            0.004951
                  53,            0.080968,            0.081252,             0.10762,             0.50524,              0.2936,             0.30762,             0.13909,            0.083641,             0.10341,            0.027677,            0.004852,            0.004852,            0.004852
                  54,            0.080676,              0.0806,             0.10428,             0.48244,             0.30417,             0.30827,             0.13909,            0.083814,             0.10371,            0.027517,            0.004753,            0.004753,            0.004753
                  55,            0.080564,            0.080108,              0.1022,             0.46199,             0.30772,             0.30924,             0.13943,            0.083427,             0.10336,            0.027044,            0.004654,            0.004654,            0.004654
                  56,            0.080325,            0.079585,             0.10232,             0.47795,             0.31269,              0.3151,             0.14227,             0.08326,             0.10325,            0.027194,            0.004555,            0.004555,            0.004555
                  57,            0.080281,            0.079894,             0.10143,             0.47761,              0.3038,             0.30948,             0.14177,            0.083547,             0.10329,            0.027218,            0.004456,            0.004456,            0.004456
                  58,            0.080349,            0.080169,             0.10359,             0.48607,             0.30586,             0.31256,             0.14081,            0.083479,             0.10339,             0.02751,            0.004357,            0.004357,            0.004357
                  59,            0.080258,            0.079961,             0.10212,             0.46298,             0.30696,             0.31111,             0.14143,            0.083547,             0.10331,            0.027603,            0.004258,            0.004258,            0.004258
                  60,            0.079835,            0.080811,             0.10371,             0.47722,             0.30282,             0.31083,             0.14147,             0.08336,             0.10362,            0.027607,            0.004159,            0.004159,            0.004159
                  61,            0.079917,            0.080406,             0.10034,             0.46284,             0.30552,             0.31007,             0.14055,             0.08336,             0.10355,            0.027763,             0.00406,             0.00406,             0.00406
                  62,            0.079371,            0.079581,            0.098123,              0.4739,             0.30524,             0.31111,             0.14159,            0.083152,             0.10354,            0.028058,            0.003961,            0.003961,            0.003961
                  63,             0.07955,            0.080822,            0.097818,             0.47822,             0.29999,             0.31195,             0.14194,            0.083326,             0.10377,            0.028647,            0.003862,            0.003862,            0.003862
                  64,            0.079087,            0.079656,            0.095999,             0.46444,             0.31091,             0.31298,             0.14289,             0.08325,             0.10365,            0.028003,            0.003763,            0.003763,            0.003763
                  65,             0.07914,             0.07921,            0.093635,             0.46146,             0.31711,             0.31685,             0.14325,            0.083207,             0.10379,             0.02834,            0.003664,            0.003664,            0.003664
                  66,            0.078916,            0.081202,            0.098729,             0.48842,             0.30759,              0.3163,             0.14446,            0.083172,             0.10427,            0.028348,            0.003565,            0.003565,            0.003565
                  67,            0.079067,            0.079836,            0.096387,             0.47753,             0.31029,             0.31589,             0.14471,            0.083201,              0.1037,            0.028772,            0.003466,            0.003466,            0.003466
                  68,            0.079082,            0.079245,            0.094013,             0.48757,             0.31004,             0.31538,             0.14508,            0.083166,             0.10426,            0.028839,            0.003367,            0.003367,            0.003367
                  69,             0.07863,            0.079108,            0.092236,             0.49254,              0.3055,             0.31334,             0.14249,            0.083126,             0.10444,            0.029107,            0.003268,            0.003268,            0.003268
                  70,            0.078746,            0.079367,            0.093868,             0.50209,             0.30941,             0.31811,              0.1458,            0.083208,             0.10396,            0.029098,            0.003169,            0.003169,            0.003169
