               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.041197,            0.045051,            0.018116,             0.86181,             0.84673,              0.9072,               0.608,            0.037512,            0.023533,           0.0021474,            0.007624,            0.007624,            0.007624
                  74,             0.04023,            0.041154,            0.014961,             0.89758,             0.84329,             0.92145,             0.62966,            0.035624,            0.023245,           0.0020971,            0.007591,            0.007591,            0.007591
                  75,            0.038553,            0.040316,            0.015702,             0.87185,             0.84178,             0.91015,             0.62507,            0.035483,            0.023258,           0.0020487,            0.007558,            0.007558,            0.007558
                  76,            0.040341,            0.042282,            0.016271,             0.87863,             0.84145,             0.91259,              0.6054,            0.037465,            0.023686,            0.001973,            0.007525,            0.007525,            0.007525
                  77,            0.039543,            0.039347,            0.013523,             0.89757,             0.83729,             0.91126,             0.61278,            0.035453,            0.023333,           0.0020003,            0.007492,            0.007492,            0.007492
                  78,            0.039852,            0.041452,            0.015124,             0.89767,             0.85124,             0.91886,             0.61862,            0.035612,            0.023287,           0.0019974,            0.007459,            0.007459,            0.007459
                  79,            0.037298,            0.038574,            0.012826,             0.86157,             0.86315,             0.92715,              0.6414,            0.034682,            0.022986,           0.0020127,            0.007426,            0.007426,            0.007426
                  80,            0.038435,             0.04305,            0.017323,             0.87614,             0.85792,             0.92595,             0.63455,             0.03485,            0.022929,           0.0020425,            0.007393,            0.007393,            0.007393
                  81,            0.039476,              0.0431,            0.015635,               0.855,             0.87385,             0.91527,             0.64902,            0.035657,            0.022948,           0.0020613,             0.00736,             0.00736,             0.00736
                  82,            0.039647,            0.040661,            0.016782,             0.86342,             0.86245,             0.92248,             0.63997,            0.034892,            0.022691,           0.0020424,            0.007327,            0.007327,            0.007327
                  83,            0.038941,            0.041274,            0.015935,             0.84289,             0.85008,             0.90871,             0.61663,            0.037666,            0.022473,           0.0019596,            0.007294,            0.007294,            0.007294
                  84,             0.03947,            0.044511,            0.015541,             0.85026,             0.89635,             0.93161,             0.63352,            0.035036,            0.022611,           0.0019214,            0.007261,            0.007261,            0.007261
                  85,            0.039853,            0.040135,             0.01388,             0.81934,             0.89902,             0.92564,             0.60905,            0.035837,            0.022877,           0.0019095,            0.007228,            0.007228,            0.007228
                  86,            0.040349,            0.043982,            0.015919,              0.8562,             0.85097,             0.91432,             0.62179,            0.036534,            0.022601,           0.0019169,            0.007195,            0.007195,            0.007195
                  87,            0.039584,            0.040496,            0.014224,             0.84687,             0.87909,             0.92513,             0.63866,            0.036297,            0.022899,           0.0019968,            0.007162,            0.007162,            0.007162
                  88,            0.040925,             0.04557,            0.016418,              0.8878,             0.85698,             0.92566,             0.63653,            0.035697,            0.022737,           0.0019677,            0.007129,            0.007129,            0.007129
                  89,            0.039184,            0.042013,            0.014932,             0.89201,             0.87746,             0.92773,             0.63453,            0.035234,             0.02245,           0.0019576,            0.007096,            0.007096,            0.007096
                  90,            0.040013,            0.041676,            0.016215,              0.8828,             0.88263,             0.94206,             0.62636,            0.036927,            0.022744,           0.0019137,            0.007063,            0.007063,            0.007063
                  91,            0.039716,            0.039046,            0.012226,             0.87529,             0.86879,             0.92784,             0.65394,            0.034178,            0.022276,           0.0018804,             0.00703,             0.00703,             0.00703
                  92,             0.03815,            0.044709,            0.014855,             0.89256,             0.86509,              0.9245,             0.63289,            0.034293,            0.022536,           0.0018712,            0.006997,            0.006997,            0.006997
                  93,            0.037948,            0.039849,            0.012201,             0.89722,              0.8775,             0.92851,             0.61108,             0.03642,            0.022692,           0.0018695,            0.006964,            0.006964,            0.006964
                  94,            0.040948,            0.040126,             0.01577,             0.88206,             0.88748,             0.93339,             0.61669,            0.035739,            0.022575,           0.0018916,            0.006931,            0.006931,            0.006931
                  95,            0.041083,            0.040741,            0.015761,             0.86977,             0.89508,             0.93934,             0.62089,            0.037055,            0.022511,           0.0018255,            0.006898,            0.006898,            0.006898
                  96,            0.039702,            0.040936,            0.013734,             0.89222,             0.89528,             0.94422,             0.64016,             0.03451,            0.022278,           0.0018018,            0.006865,            0.006865,            0.006865
                  97,            0.037419,            0.038723,            0.015634,             0.90079,             0.88603,             0.94197,             0.66219,            0.033969,            0.022331,           0.0017673,            0.006832,            0.006832,            0.006832
                  98,             0.03742,            0.040698,            0.015244,              0.8892,             0.88511,              0.9405,             0.65196,             0.03313,            0.021982,           0.0017909,            0.006799,            0.006799,            0.006799
                  99,            0.038046,            0.042391,             0.01357,             0.88719,             0.88971,             0.94095,             0.68063,            0.032412,            0.021879,           0.0018336,            0.006766,            0.006766,            0.006766
                 100,            0.036633,            0.038879,            0.014984,             0.87451,             0.88474,              0.9355,             0.68019,             0.03237,            0.021887,           0.0018247,            0.006733,            0.006733,            0.006733
                 101,            0.037189,            0.040147,            0.013844,             0.87121,             0.89356,             0.93827,             0.66874,            0.032294,            0.021851,           0.0018309,              0.0067,              0.0067,              0.0067
                 102,            0.036868,            0.035117,             0.01302,             0.87368,              0.8993,             0.93827,             0.64282,            0.033657,            0.021894,           0.0018377,            0.006667,            0.006667,            0.006667
                 103,            0.037296,            0.039951,            0.014068,             0.88704,             0.90111,             0.94238,             0.64184,            0.032736,            0.021752,           0.0017982,            0.006634,            0.006634,            0.006634
                 104,            0.037502,             0.03601,            0.011996,             0.85894,             0.91569,             0.94324,             0.65226,            0.032631,             0.02153,           0.0017949,            0.006601,            0.006601,            0.006601
                 105,            0.034404,            0.033308,            0.010414,              0.8543,             0.89567,             0.94031,             0.65802,            0.033792,            0.021437,           0.0017789,            0.006568,            0.006568,            0.006568
                 106,             0.03738,             0.04044,            0.014126,             0.87902,             0.88377,             0.93909,             0.66518,            0.033484,            0.021519,           0.0018101,            0.006535,            0.006535,            0.006535
                 107,            0.038862,            0.038886,            0.012666,             0.87784,             0.88546,             0.93957,             0.66636,            0.033464,            0.021771,           0.0018064,            0.006502,            0.006502,            0.006502
                 108,            0.036932,            0.036849,            0.012491,              0.8857,             0.87393,              0.9363,              0.6484,            0.034155,            0.021966,           0.0018048,            0.006469,            0.006469,            0.006469
                 109,            0.038287,            0.039494,            0.011831,             0.88552,             0.87597,             0.93406,             0.64945,            0.034354,            0.022161,           0.0018337,            0.006436,            0.006436,            0.006436
                 110,              0.0381,            0.036387,            0.013171,             0.83318,             0.91931,             0.94312,             0.66692,            0.031445,            0.021492,           0.0018421,            0.006403,            0.006403,            0.006403
                 111,            0.036301,            0.041242,            0.013335,              0.8673,             0.91358,             0.94247,             0.66703,            0.031976,            0.021548,           0.0018379,             0.00637,             0.00637,             0.00637
                 112,            0.036599,            0.035825,            0.012065,             0.84663,             0.92179,             0.93933,             0.63978,            0.034929,            0.021857,           0.0018597,            0.006337,            0.006337,            0.006337
                 113,            0.040207,             0.04195,             0.01541,             0.84806,             0.92405,             0.94256,             0.66903,            0.030823,            0.021057,           0.0018933,            0.006304,            0.006304,            0.006304
                 114,            0.037867,            0.042397,             0.01539,             0.86546,             0.90953,             0.93831,              0.6395,            0.033447,            0.021267,           0.0018978,            0.006271,            0.006271,            0.006271
                 115,            0.037955,             0.03441,            0.011749,             0.88767,             0.90706,             0.94536,              0.6896,            0.031368,            0.020971,           0.0019237,            0.006238,            0.006238,            0.006238
                 116,             0.03567,            0.038651,            0.012124,              0.9159,             0.89482,             0.94679,             0.68533,            0.031865,            0.021203,           0.0018495,            0.006205,            0.006205,            0.006205
                 117,            0.036704,            0.038297,            0.015602,             0.88635,             0.91336,             0.94795,             0.68954,            0.032623,            0.021161,           0.0018144,            0.006172,            0.006172,            0.006172
                 118,            0.036443,            0.036642,            0.014105,             0.87548,             0.92159,             0.95029,             0.67007,            0.032549,            0.021289,           0.0017843,            0.006139,            0.006139,            0.006139
                 119,            0.036364,            0.040999,             0.01513,             0.86677,             0.92564,             0.94433,             0.67614,            0.032675,             0.02134,           0.0017281,            0.006106,            0.006106,            0.006106
                 120,            0.036452,            0.039232,            0.012647,             0.86342,              0.9239,             0.94568,             0.68923,            0.033566,             0.02152,           0.0017011,            0.006073,            0.006073,            0.006073
                 121,            0.036518,            0.039068,             0.01237,             0.88143,             0.92024,             0.95128,             0.67558,            0.030829,            0.021101,              0.0017,             0.00604,             0.00604,             0.00604
                 122,            0.035612,             0.03928,             0.01402,               0.915,             0.88104,             0.95011,             0.68394,            0.031094,            0.021201,           0.0016997,            0.006007,            0.006007,            0.006007
                 123,            0.035173,            0.038013,            0.012595,              0.8853,             0.92061,             0.94972,             0.69632,            0.030473,            0.020898,           0.0017238,            0.005974,            0.005974,            0.005974
                 124,            0.036108,            0.039811,            0.011541,             0.82745,             0.92199,             0.93774,             0.68909,            0.032333,            0.020832,           0.0017131,            0.005941,            0.005941,            0.005941
                 125,            0.036419,            0.038966,            0.012887,             0.87694,             0.92952,             0.95273,             0.68418,            0.030665,            0.020891,           0.0016881,            0.005908,            0.005908,            0.005908
                 126,            0.036105,            0.038362,             0.01188,             0.88426,             0.91833,             0.94965,              0.6936,             0.03189,            0.020917,           0.0016782,            0.005875,            0.005875,            0.005875
                 127,            0.037974,            0.035737,            0.012213,             0.84327,             0.92106,             0.94343,             0.66651,            0.032687,            0.020974,           0.0016924,            0.005842,            0.005842,            0.005842
