               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.080611,             0.17503,             0.55045,             0.37444,             0.28095,             0.28551,             0.15009,            0.083703,               0.214,            0.035228,            0.003466,            0.003466,            0.003466
                  68,             0.08055,             0.17353,             0.54384,             0.40819,             0.27672,             0.28206,             0.14677,            0.083533,             0.21397,            0.035154,            0.003367,            0.003367,            0.003367
                  69,            0.080407,             0.17518,             0.55309,             0.40879,              0.2728,             0.28447,              0.1482,            0.083518,             0.21374,             0.03534,            0.003268,            0.003268,            0.003268
                  70,            0.080323,             0.17436,             0.54477,             0.36371,             0.28247,             0.28586,             0.14791,            0.083488,             0.21421,            0.035234,            0.003169,            0.003169,            0.003169
                  71,            0.080319,             0.17614,             0.55265,             0.39946,             0.27415,             0.28213,             0.14529,            0.083438,             0.21432,            0.035553,             0.00307,             0.00307,             0.00307
                  72,             0.08043,             0.17594,              0.5512,             0.40335,             0.28617,             0.28946,             0.14842,            0.083504,             0.21423,            0.035562,            0.002971,            0.002971,            0.002971
                  73,            0.080207,             0.17359,             0.54178,             0.38333,             0.27786,             0.28631,             0.14764,            0.083319,             0.21445,            0.035566,            0.002872,            0.002872,            0.002872
                  74,            0.080138,             0.17268,             0.52889,             0.39511,              0.2828,             0.28383,             0.14316,            0.083354,             0.21438,            0.035824,            0.002773,            0.002773,            0.002773
                  75,            0.080062,             0.17372,             0.53617,             0.34852,             0.29298,             0.28683,             0.14725,            0.083405,             0.21443,            0.035625,            0.002674,            0.002674,            0.002674
                  76,            0.080134,             0.17644,             0.55038,             0.36089,             0.28808,             0.28607,             0.14485,            0.083391,             0.21413,            0.035786,            0.002575,            0.002575,            0.002575
                  77,                0.08,             0.17409,             0.53347,             0.39156,             0.29146,             0.29149,             0.14922,            0.083362,              0.2144,            0.035729,            0.002476,            0.002476,            0.002476
                  78,            0.079965,             0.17441,             0.53265,              0.3699,             0.29087,             0.28655,             0.14628,            0.083394,             0.21439,            0.035896,            0.002377,            0.002377,            0.002377
                  79,            0.079779,             0.17331,             0.52704,             0.37249,             0.27927,             0.28195,             0.14572,            0.083373,             0.21454,            0.035807,            0.002278,            0.002278,            0.002278
                  80,            0.079542,             0.17142,             0.51221,             0.35904,             0.28765,             0.28592,             0.14778,            0.083278,             0.21511,            0.036186,            0.002179,            0.002179,            0.002179
                  81,            0.079871,             0.17315,             0.52916,             0.41477,             0.27527,             0.28463,             0.14463,            0.083293,             0.21462,            0.035925,             0.00208,             0.00208,             0.00208
                  82,            0.079687,              0.1763,             0.53741,             0.34556,             0.29142,             0.28737,             0.14753,            0.083294,             0.21436,            0.035947,            0.001981,            0.001981,            0.001981
                  83,             0.07966,              0.1716,             0.52049,             0.36357,             0.28897,             0.28667,             0.14471,            0.083202,             0.21461,            0.036071,            0.001882,            0.001882,            0.001882
                  84,            0.079464,             0.17175,             0.51655,             0.38725,             0.28602,             0.28529,             0.14432,            0.083285,             0.21474,            0.036096,            0.001783,            0.001783,            0.001783
                  85,            0.079818,             0.17493,             0.53138,             0.37381,             0.28137,               0.288,             0.14586,            0.083211,             0.21462,            0.036127,            0.001684,            0.001684,            0.001684
