               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.035293,            0.031075,          0.00064853,              0.8355,             0.63274,             0.73325,             0.48465,            0.037837,            0.040561,          4.4317e-05,            0.002773,            0.002773,            0.002773
                  75,             0.03529,            0.031383,          0.00061059,             0.83045,             0.63595,             0.73676,             0.48591,            0.037917,            0.040977,          5.0337e-05,            0.002674,            0.002674,            0.002674
                  76,            0.035128,            0.031639,          0.00059986,             0.82824,             0.63445,             0.73527,             0.48508,             0.03792,            0.040714,          3.5808e-05,            0.002575,            0.002575,            0.002575
                  77,            0.034808,            0.030756,            0.000559,              0.8187,             0.64645,             0.73934,             0.48872,            0.037823,            0.040959,          4.0447e-05,            0.002476,            0.002476,            0.002476
                  78,            0.034919,            0.031106,          0.00055469,              0.8394,             0.63874,             0.73966,              0.4881,            0.037709,            0.040917,          3.5097e-05,            0.002377,            0.002377,            0.002377
                  79,            0.034831,            0.030724,          0.00051074,             0.82361,             0.64303,             0.73739,             0.48842,            0.037716,             0.04073,          3.2563e-05,            0.002278,            0.002278,            0.002278
                  80,            0.034535,            0.030628,          0.00048664,             0.84195,              0.6366,              0.7415,              0.4876,            0.037778,            0.041065,          3.4767e-05,            0.002179,            0.002179,            0.002179
                  81,            0.034128,            0.031027,           0.0004781,             0.80505,              0.6592,              0.7411,             0.48771,            0.037798,            0.040959,          3.2124e-05,             0.00208,             0.00208,             0.00208
                  82,             0.03442,            0.030782,          0.00046749,             0.84284,             0.63316,             0.73821,             0.48647,             0.03777,            0.040942,          2.7495e-05,            0.001981,            0.001981,            0.001981
                  83,            0.034192,            0.029781,          0.00041164,             0.81836,             0.65355,             0.74321,             0.49021,            0.037764,             0.04103,          2.6421e-05,            0.001882,            0.001882,            0.001882
                  84,            0.034121,            0.030454,          0.00040403,             0.82508,             0.64624,             0.74179,             0.48891,            0.037793,            0.040977,          2.2509e-05,            0.001783,            0.001783,            0.001783
                  85,            0.033529,            0.030573,          0.00037137,             0.81801,             0.64818,             0.74084,               0.487,            0.037807,            0.041294,          1.9666e-05,            0.001684,            0.001684,            0.001684
                  86,            0.033679,            0.029745,          0.00034144,             0.82399,             0.64924,             0.74026,             0.48993,            0.037859,            0.041285,          2.2091e-05,            0.001585,            0.001585,            0.001585
